#: table_doi: 10.17182/hepdata.86210.v1/t6
#: name: Table 6
#: description: Additional systematic error for pp data: +3.0 pct -3.0 pct
Additional systematic error for PBPB 0-5 pct data: +0.08 pct -0.08 pct
Additional systematic error for PBPB 5-10 pct data: +0.24 pct -0.24 pct
Additional systematic error for PBPB 10-20 pct data: +0.46 pct -0.46 pct
Additional systematic error for PBPB 20-30 pct data: +0.81 pct -0.81 pct
Additional systematic error for PBPB 30-40 pct data: +1.26 pct -1.26 pct
Additional systematic error for PBPB 40-50 pct data: +1.86 pct -1.86 pct
Additional systematic error for PBPB 50-60 pct data: +2.64 pct -2.64 pct
Additional systematic error for PBPB 60-70 pct data: +3.67 pct -3.67 pct
Additional systematic error for PBPB 70-80 pct data: +5.01 pct -5.01 pct.

#: data_file: Fig5.yaml
#: keyword reactions: P P --> CHARGED X : PB PB --> CHARGED X
#: keyword observables: SPECTRA RATIOS
#: keyword cmenergies: 5020 and 2760
#: CENT,,,-
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RATIO OF SPECTRA (5020 GEV / 2760 GEV),stat +,stat -,sys +,sys -
1.05,1.0,1.1,1.281493,0.0006037,-0.0006037,0.033679,-0.033679
1.15,1.1,1.2,1.295989,0.00067424,-0.00067424,0.033807,-0.033807
1.2999999999999998,1.2,1.4,1.314754,0.00043607,-0.00043607,0.036757,-0.036757
1.5,1.4,1.6,1.343206,0.00052865,-0.00052865,0.039866,-0.039866
1.7000000000000002,1.6,1.8,1.375536,0.00063047,-0.00063047,0.042537,-0.042537
1.9,1.8,2.0,1.406903,0.00073315,-0.00073315,0.049689,-0.049689
2.1,2.0,2.2,1.437861,0.0010783,-0.0010783,0.050492,-0.050492
2.3,2.2,2.4,1.467488,0.0012759,-0.0012759,0.051522,-0.051522
2.5,2.4,2.6,1.49462,0.0014823,-0.0014823,0.051651,-0.051651
2.7,2.6,2.8,1.522557,0.0017157,-0.0017157,0.054994,-0.054994
2.9,2.8,3.0,1.552841,0.0020195,-0.0020195,0.053161,-0.053161
3.1,3.0,3.2,1.580676,0.0022835,-0.0022835,0.053989,-0.053989
3.4000000000000004,3.2,3.6,1.602645,0.0018152,-0.0018152,0.05517,-0.05517
3.8,3.6,4.0,1.648807,0.0024731,-0.0024731,0.056884,-0.056884
4.5,4.0,5.0,1.690503,0.0024606,-0.0024606,0.059648,-0.059648
5.5,5.0,6.0,1.728364,0.0045265,-0.0045265,0.055176,-0.055176
7.0,6.0,8.0,1.789354,0.0059577,-0.0059577,0.053972,-0.053972
9.0,8.0,10.0,1.895718,0.01211,-0.01211,0.055238,-0.055238
11.5,10.0,13.0,1.967062,0.018061,-0.018061,0.063201,-0.063201
16.5,13.0,20.0,2.125817,0.028111,-0.028111,0.080602,-0.080602
25.0,20.0,30.0,2.396728,0.073652,-0.073652,0.11636,-0.11636
